,ID,Text,Racial Justice,count,date
58826,1268959749338521603,"RT @DecisiveFarming: The markets have been extremely volatile this season, so Jeff teamed up with an advisor from @INTLFCStone to develop a…",False,4,2020-06-05
58825,1268984685264359424,#Weather in the Midwest is always a major factor during the growing season. Get the latest forecast and see how that might impact #crop yields during @ArlanFF101’s live June 11th webinar. #oatt https://t.co/w3GZGUnEkk,False,5,2020-06-05
58824,1269001061366366215,"KTIC Radio of @rrnmarkets interviewed @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division. #oatt

https://t.co/X6R6JWtKeY",False,6,2020-06-05
58823,1269012368056606723,Take a hard look at your firm’s exposure to commodity price risk. Our “6 Steps to Assess Your Exposure to Commodity Price Risk” can give you valuable insight into potential vulnerabilities.#riskmanagement #pricerisk https://t.co/hu7ujHZP1F,False,7,2020-06-05
58822,1269046341533003776,Boots on the Ground tells the stories behind our company’s personal connections to the markets &amp; our unrivaled advantage in putting firsthand market knowledge to work for those clients we serve. Stay tuned for the full video released this summer! #oatt #oott https://t.co/CxMY0t9V83,False,8,2020-06-05
58821,1269061461743198208,"MarketScreener quotes expert market commentary by @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division. #oatt #wheat 

 https://t.co/6B0Hye3ICF",False,1,2020-06-06
58820,1269315715716321280,"INTL FCStone Inc. Announces GAIN Capital Holdings, Inc. Stockholders’ Approval of Acquisition 

https://t.co/6dx6Gr742V",False,2,2020-06-06
58819,1269317494029914112,RT @RappaportJacob: GAIN Capital Shareholders Vote 71% in Favour of ⁦@INTLFCStone⁩ Acquisition | Finance Magnates https://t.co/ssFEIm3KPl,False,3,2020-06-06
58818,1269797902630686721,RT @INTLFCStone: It's time to answer @ArlanFF101's poll questions before his June 1th #WASDE webinar! Have you registered yet? https://t.co…,False,1,2020-06-08
58817,1269976246445912066,"Expert market commentary by Darin Friedrichs (@crushspread), Risk Management Consultant for INTL FCStone Trading Co. Ltd. was featured by the South China Morning Post.  #tradedeal #soybeans https://t.co/Gjqxhy6gO3",False,2,2020-06-08
58816,1270010179283750914,The global metals markets have not been immune to #COVID19 turmoil. Register for our inaugural #Metals Market Outlook to see which metals might have fared better than others. #basemetals #preciousmetals #gold   https://t.co/7QcVMMev2S,False,3,2020-06-08
58815,1270039183407677444,"Expert precious metals market commentary by Rhona O’Connell (@REOC13), Head of Market Analysis EMEA &amp; Asia for INTL FCStone Ltd. is featured by @Reuters. #gold #preciousmetals

 https://t.co/XWhrCvxxQp",False,4,2020-06-08
58814,1270071922890608640,"Expert market commentary by Natalie Scott-Gray, Senior Analyst, Market Analysis EMEA &amp; Asia for INTL FCStone Ltd. is quoted by @Fastmarkets.  #metals #LME #basemetals
https://t.co/N9YdaVkrlr",False,5,2020-06-08
58813,1270100789743153152,The #USDA forecasted big crops in the May #WASDE and those numbers are not likely to change in the June report. Tune into @ArlanFF101’s live webinar on June 11 to see how these numbers affect the world balance sheet. #oatt https://t.co/w3GZGU62VK,False,6,2020-06-08
58812,1270131017429499904,"FX Markets interviewed Mike Wilkins, Head of FX – Sales &amp; Trading and Ina Patrascu, Head of FX Sales for INTL FCStone Ltd. #FX #foreignexchange https://t.co/klQT6cg9U1",False,7,2020-06-08
58811,1270338684114612225,"There is no need for you to compromise your carefully crafted #investment strategy to an “out of the box” #algorithmic trading solution.  If you are ready to explore how a customized solution can enable you to achieve your goals, contact @INTL_Securities https://t.co/b12sudMVzV https://t.co/LyT1U99sNY",False,1,2020-06-09
58810,1270360065699188737,"Last week’s DairyDialog by @dairyreporter featured expert #dairy market commentary by Charlie Hyland, Head of EU Dairy for INTL FCStone Europe S.A. @INTL_EUDairy @ifcsdairy https://t.co/4mr2dn8NJy",False,2,2020-06-09
58809,1270371715030319104,"To ensure that you are getting the most out of your prime broker relationship, you need to be constantly evaluating how well they are meeting your needs. If they fall short and you are looking for alternatives, reach out for a proposal. #primebrokerage https://t.co/BPSYmA1W3N",False,3,2020-06-09
58808,1270387750596984832,Hear from us during Finadium’s webinar Preparing for a Very Different Tomorrow: #COVID-19 and the Collateral Ecosystem – June 10 from 10-11 am EDT. https://t.co/M4UzvbnDS1,False,4,2020-06-09
58807,1270402779564163072,Boots on the Ground tells the stories behind our company’s personal connections to the markets &amp; our unrivaled advantage in putting firsthand market knowledge to work for those clients we serve. Stay tuned for the full video released this summer! https://t.co/ozjgGyA11O,False,5,2020-06-09
58806,1270434236781129730,"Key agricultural production areas like Brazil, Europe, and The Black Sea Region could see weather-related troubles. Tune into @ArlanFF101’s webinar to see how this might affect the final production numbers for these regions. #oatt #ag https://t.co/w3GZGU62VK",False,6,2020-06-09
58805,1270448077980090368,"Attention Ohio Farmers!  Join us on June 18th for a free market outlook &amp; educational webinar, Keeping the Ohio Farm Profitable in 2020, exclusively for @OhioFarmBureau Members. Register here: https://t.co/S6GdCO5pOx",False,7,2020-06-09
58804,1270455064214360066,RT @DecisiveFarming: Your profits are at the mercy of navigating this volatility &amp; you're tasked with monitoring not only local supply &amp; de…,False,8,2020-06-09
58803,1270455674321985543,"Natalie Scott-Gray, Senior Analyst Market Analysis, EMEA &amp; Asia for INTL FCStone Ltd, is quoted by @FastMarkets. #metals

https://t.co/AjfXAqFvMZ",False,9,2020-06-09
58802,1270461995419082759,"A global market requires a global partner with an international network of insights, resources, &amp; expertise. For the last 30 yrs, the #Metals Team at INTL FCStone Ltd has delivered on all of these. See how we can help you! 
https://t.co/pFp8A9IrXh",False,10,2020-06-09
58801,1270495936117170184,"We offer price risk management for a variety of #commodities. Check out our Featured Insights page to see the services we offer and how we could help you!  #grains #dairy #wheat #corn #cattle #oil #livestock #natgas #rbob
https://t.co/uu9xF9fGMe",False,11,2020-06-09
58800,1270508488654049287,"Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @Reuters #stockmarkets #wallstreet
https://t.co/UZkXSIpWAN",False,1,2020-06-10
58799,1270538686741000195,". @business quotes Nick Orssich, Client Advisor for INTL FCStone Pty Ltd. #oatt 

https://t.co/FHVb3JbEpR",False,2,2020-06-10
58798,1270704839719346177,"ICYMI: Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @CitywireWealth.  #stockmarket #ESG

https://t.co/STiCvEToif",False,3,2020-06-10
58797,1270733871840182272,"Global perspective, diverse offering, deeper expertise. INTL FCStone can help the European #food manufacturing industry hedge their risk, secure their margins, and grow. #dairy #grains #wheat #corn #soybeans #coffee #oatt
https://t.co/ZFuqyVSrhZ",False,4,2020-06-10
58796,1270752627886829569,". @FXMarkets_ quotes expert market commentary by @realEricDonovan Managing Director of FX &amp; Interest Rates for INTL FCStone Markets, LLC. #Fed #FX 

@INTLFCStone_FX 

https://t.co/JgbMOvP5MK",False,5,2020-06-10
58795,1270766425674670080,The demand side of the world balance sheet could see big changes as China continues to buy US #Ag commodities and the ethanol industry looks to recover some of it lost demand. Register for @ArlanFF101’s webinar to see how this might play out. #oatt https://t.co/w3GZGU62VK,False,6,2020-06-10
